scen	box	mode	arm	model	seed	rci	rcr	caught	resolved	tokens	cost_usd	neat_hits	obs_hits
409	both	detect	neat	haiku	1	NO	NO	NO	-	1430818	0.2477	7	0
409	both	detect	neat	haiku	2	YES	NO	NO	-	185077	0.0584	6	0
409	both	detect	obscode	opus	2	YES	YES	YES	-	327201	0.6437	0	5
409	both	detect	obscode	opus	3	YES	YES	YES	-	359310	0.6588	0	7
409	both	detect	neat	haiku	3	YES	NO	NO	-	298482	0.0749	7	0
409	both	detect	neat	haiku	4	YES	NO	NO	-	131936	0.0543	8	0
409	both	detect	obscode	opus	4	YES	YES	YES	-	391251	0.7042	0	6
409	both	detect	obscode	opus	5	YES	YES	YES	-	279300	0.4909	0	5
409	both	detect	neat	haiku	5	YES	NO	NO	-	874277	0.1721	12	0
415	both	detect	obscode	opus	1	YES	YES	YES	-	340675	0.5985	0	5
415	both	detect	neat	haiku	1	YES	YES	YES	-	220207	0.0864	4	0
415	both	detect	neat	haiku	2	YES	YES	YES	-	757567	0.2151	5	0
415	both	detect	obscode	opus	2	YES	YES	YES	-	268459	0.4892	0	6
415	both	detect	obscode	opus	3	YES	YES	YES	-	366099	0.6067	0	5
415	both	detect	neat	haiku	3	YES	YES	YES	-	101476	0.0411	4	0
415	both	detect	neat	haiku	4	YES	YES	YES	-	182931	0.053	5	0
415	both	detect	obscode	opus	4	YES	YES	YES	-	390411	0.6136	0	8
415	both	detect	obscode	opus	5	YES	YES	YES	-	307483	0.5112	0	6
415	both	detect	neat	haiku	5	YES	YES	YES	-	738199	0.221	6	0
416	both	detect	obscode	opus	1	NO	YES	NO	-	553103	0.8221	0	7
416	both	detect	neat	haiku	1	YES	YES	YES	-	104099	0.0446	4	0
416	both	detect	neat	haiku	2	YES	YES	YES	-	773631	0.1665	9	0
416	both	detect	obscode	opus	2	NO	YES	NO	-	406984	0.727	0	4
416	both	detect	obscode	opus	3	NO	YES	NO	-	460913	0.8141	0	7
416	both	detect	neat	haiku	3	YES	YES	YES	-	77566	0.0432	4	0
416	both	detect	neat	haiku	4	YES	NO	NO	-	159991	0.0553	5	0
416	both	detect	obscode	opus	4	YES	YES	YES	-	332064	0.6446	0	9
416	both	detect	obscode	opus	5	NO	YES	NO	-	373669	0.6832	0	5
416	both	detect	neat	haiku	5	YES	YES	YES	-	678902	0.1469	9	0
414	strict-runtime	detect	obscode	opus	1	YES	YES	YES	-	435901	0.6856	0	8
414	strict-runtime	detect	neat	haiku	1	YES	NO	NO	-	815612	0.2031	13	0
414	strict-runtime	detect	neat	haiku	2	YES	YES	YES	-	1079459	0.2259	8	0
414	strict-runtime	detect	obscode	opus	2	YES	YES	YES	-	348072	0.5098	0	7
414	strict-runtime	detect	obscode	opus	3	YES	YES	YES	-	235426	0.448	0	5
414	strict-runtime	detect	neat	haiku	3	YES	NO	NO	-	889390	0.1716	10	0
414	strict-runtime	detect	neat	haiku	4	YES	NO	NO	-	360255	0.0814	12	0
414	strict-runtime	detect	obscode	opus	4	YES	YES	YES	-	333554	0.5163	0	6
414	strict-runtime	detect	obscode	opus	5	YES	YES	YES	-	274253	0.4783	0	7
414	strict-runtime	detect	neat	haiku	5	YES	NO	NO	-	1092976	0.2148	10	0
20	strict-runtime	detect	obscode	opus	1	YES	YES	YES	-	195513	0.4086	0	6
20	strict-runtime	detect	neat	haiku	1	NO	YES	NO	-	110330	0.0488	4	0
20	strict-runtime	detect	neat	haiku	2	NO	YES	NO	-	341519	0.0945	7	0
20	strict-runtime	detect	obscode	opus	2	NO	NO	NO	-	255605	0.5723	0	8
20	strict-runtime	detect	obscode	opus	3	NO	NO	NO	-	0	0	0	0
20	strict-runtime	detect	neat	haiku	3	NO	NO	NO	-	0	0	0	0
20	strict-runtime	detect	neat	haiku	4	NO	NO	NO	-	0	0	0	0
20	strict-runtime	detect	obscode	opus	4	NO	NO	NO	-	0	0	0	0
20	strict-runtime	detect	obscode	opus	5	NO	NO	NO	-	0	0	0	0
20	strict-runtime	detect	neat	haiku	5	NO	NO	NO	-	0	0	0	0
32	strict-runtime	detect	obscode	opus	1	NO	NO	NO	-	0	0	0	0
32	strict-runtime	detect	neat	haiku	1	NO	NO	NO	-	0	0	0	0
32	strict-runtime	detect	neat	haiku	2	NO	NO	NO	-	0	0	0	0
32	strict-runtime	detect	obscode	opus	2	NO	NO	NO	-	0	0	0	0
32	strict-runtime	detect	obscode	opus	3	NO	NO	NO	-	0	0	0	0
32	strict-runtime	detect	neat	haiku	3	NO	NO	NO	-	0	0	0	0
32	strict-runtime	detect	neat	haiku	4	NO	NO	NO	-	0	0	0	0
32	strict-runtime	detect	obscode	opus	4	NO	NO	NO	-	0	0	0	0
32	strict-runtime	detect	obscode	opus	5	NO	NO	NO	-	0	0	0	0
32	strict-runtime	detect	neat	haiku	5	NO	NO	NO	-	0	0	0	0
