scen	box	mode	arm	model	seed	rci	rcr	caught	resolved	tokens	cost_usd	neat_hits	obs_hits
412	strict-code	resolve	obscode	opus	4	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	obscode	opus	5	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	neat	sonnet	1	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	neat	sonnet	2	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	neat	sonnet	3	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	neat	sonnet	4	VOID	VOID	VOID	VOID	0	0	0	0
412	strict-code	resolve	neat	sonnet	5	VOID	VOID	VOID	VOID	0	0	0	0
405	both	resolve	obscode	opus	1	YES	YES	-	YES	173929	0.3487	0	6
405	both	resolve	neat	sonnet	1	YES	YES	-	YES	308168	0.2	2	0
405	both	resolve	neat	sonnet	2	YES	YES	-	YES	593531	0.3076	5	0
405	both	resolve	obscode	opus	2	YES	NO	-	YES	229110	0.545	0	7
405	both	resolve	obscode	opus	3	YES	YES	-	YES	285415	0.5927	0	6
405	both	resolve	neat	sonnet	3	YES	YES	-	YES	571875	0.3169	7	0
405	both	resolve	neat	sonnet	4	YES	YES	-	YES	489486	0.2715	6	0
405	both	resolve	obscode	opus	4	YES	YES	-	YES	189475	0.451	0	4
405	both	resolve	obscode	opus	5	YES	YES	-	YES	247799	0.4623	0	4
405	both	resolve	neat	sonnet	5	YES	YES	-	YES	399428	0.2899	5	0
410	both	resolve	obscode	opus	1	YES	YES	-	YES	203994	0.4276	0	6
410	both	resolve	neat	sonnet	1	YES	YES	-	NO	528510	0.2835	15	0
410	both	resolve	neat	sonnet	2	YES	YES	-	YES	621917	0.3549	7	0
410	both	resolve	obscode	opus	2	YES	YES	-	YES	220518	0.5165	0	9
410	both	resolve	obscode	opus	3	YES	YES	-	YES	203668	0.4566	0	6
410	both	resolve	neat	sonnet	3	YES	YES	-	YES	460490	0.2826	10	0
410	both	resolve	neat	sonnet	4	YES	YES	-	YES	401365	0.2506	13	0
410	both	resolve	obscode	opus	4	YES	YES	-	YES	293047	0.606	0	6
410	both	resolve	obscode	opus	5	YES	YES	-	YES	281835	0.5482	0	14
410	both	resolve	neat	sonnet	5	YES	YES	-	YES	573289	0.3466	12	0
407	both	detect	obscode	opus	1	YES	YES	YES	-	144740	0.3703	0	5
407	both	detect	neat	sonnet	1	YES	YES	YES	-	179360	0.134	4	0
407	both	detect	neat	sonnet	2	YES	YES	YES	-	176579	0.1388	5	0
407	both	detect	obscode	opus	2	YES	YES	YES	-	141267	0.3627	0	6
407	both	detect	obscode	opus	3	YES	YES	YES	-	138209	0.3497	0	6
407	both	detect	neat	sonnet	3	YES	YES	YES	-	218871	0.1385	1	0
407	both	detect	neat	sonnet	4	YES	NO	NO	-	179856	0.1443	7	0
407	both	detect	obscode	opus	4	NO	YES	NO	-	219051	0.5341	0	4
407	both	detect	obscode	opus	5	YES	YES	YES	-	105470	0.2963	0	4
407	both	detect	neat	sonnet	5	YES	YES	YES	-	143106	0.1302	5	0
406	both	detect	obscode	opus	1	YES	YES	YES	-	111432	0.2534	0	6
406	both	detect	neat	sonnet	1	YES	NO	NO	-	136080	0.1035	7	0
406	both	detect	neat	sonnet	2	YES	YES	YES	-	178300	0.1322	9	0
406	both	detect	obscode	opus	2	NO	YES	NO	-	126115	0.33	0	4
406	both	detect	obscode	opus	3	NO	YES	NO	-	122607	0.3342	0	4
406	both	detect	neat	sonnet	3	YES	YES	YES	-	136069	0.1043	6	0
406	both	detect	neat	sonnet	4	YES	YES	YES	-	176908	0.1437	9	0
406	both	detect	obscode	opus	4	YES	YES	YES	-	182335	0.4026	0	5
406	both	detect	obscode	opus	5	YES	YES	YES	-	150045	0.3852	0	4
406	both	detect	neat	sonnet	5	YES	YES	YES	-	105280	0.1077	3	0
408	both	detect	obscode	opus	1	VOID	VOID	VOID	VOID	0	0	0	0
408	both	detect	obscode	opus	2	VOID	VOID	VOID	VOID	0	0	0	0
408	both	detect	obscode	opus	3	VOID	VOID	VOID	VOID	0	0	0	0
408	both	detect	obscode	opus	4	VOID	VOID	VOID	VOID	0	0	0	0
408	both	detect	obscode	opus	5	VOID	VOID	VOID	VOID	0	0	0	0
408	both	detect	neat	sonnet	1	VOID	VOID	VOID	VOID	0	0	0	0
408	both	detect	neat	sonnet	2	VOID	VOID	VOID	VOID	0	0	0	0
408	both	detect	neat	sonnet	3	VOID	VOID	VOID	VOID	0	0	0	0
408	both	detect	neat	sonnet	4	VOID	VOID	VOID	VOID	0	0	0	0
408	both	detect	neat	sonnet	5	VOID	VOID	VOID	VOID	0	0	0	0
409	both	detect	obscode	opus	1	YES	NO	NO	-	181100	0.4026	0	4
409	both	detect	neat	sonnet	1	YES	NO	NO	-	139001	0.1219	6	0
409	both	detect	neat	sonnet	2	YES	NO	NO	-	138512	0.1112	6	0
409	both	detect	obscode	opus	2	YES	YES	YES	-	177385	0.4431	0	4
409	both	detect	obscode	opus	3	YES	YES	YES	-	176357	0.3897	0	3
409	both	detect	neat	sonnet	3	YES	NO	NO	-	220226	0.1644	4	0
409	both	detect	neat	sonnet	4	YES	NO	NO	-	140690	0.1245	5	0
409	both	detect	obscode	opus	4	YES	YES	YES	-	173468	0.5005	0	2
409	both	detect	obscode	opus	5	NO	NO	NO	-	136932	0.3115	0	3
409	both	detect	neat	sonnet	5	YES	NO	NO	-	219118	0.1492	6	0
415	both	detect	obscode	opus	1	YES	YES	YES	-	156610	0.3413	0	3
415	both	detect	neat	sonnet	1	YES	YES	YES	-	219707	0.1524	7	0
415	both	detect	neat	sonnet	2	YES	YES	YES	-	216819	0.1521	5	0
415	both	detect	obscode	opus	2	YES	YES	YES	-	170456	0.4452	0	6
415	both	detect	obscode	opus	3	YES	YES	YES	-	207867	0.471	0	5
415	both	detect	neat	sonnet	3	YES	YES	YES	-	179333	0.1259	4	0
415	both	detect	neat	sonnet	4	YES	YES	YES	-	184433	0.1597	5	0
415	both	detect	obscode	opus	4	YES	YES	YES	-	202368	0.4211	0	4
415	both	detect	obscode	opus	5	YES	YES	YES	-	133625	0.346	0	1
415	both	detect	neat	sonnet	5	YES	NO	NO	-	172660	0.1198	3	0
416	both	detect	obscode	opus	1	YES	YES	YES	-	126537	0.2975	0	4
416	both	detect	neat	sonnet	1	YES	YES	YES	-	179753	0.13	5	0
416	both	detect	neat	sonnet	2	YES	YES	YES	-	248781	0.1414	4	0
416	both	detect	obscode	opus	2	YES	YES	YES	-	157626	0.4091	0	3
416	both	detect	obscode	opus	3	YES	YES	YES	-	136170	0.3508	0	6
416	both	detect	neat	sonnet	3	YES	YES	YES	-	181654	0.1359	4	0
416	both	detect	neat	sonnet	4	YES	YES	YES	-	262903	0.1737	6	0
416	both	detect	obscode	opus	4	YES	YES	YES	-	133993	0.3221	0	3
416	both	detect	obscode	opus	5	YES	YES	YES	-	102635	0.2762	0	3
416	both	detect	neat	sonnet	5	YES	YES	YES	-	262800	0.1719	6	0
414	strict-runtime	detect	obscode	opus	1	VOID	VOID	VOID	VOID	0	0	0	0
414	strict-runtime	detect	obscode	opus	2	VOID	VOID	VOID	VOID	0	0	0	0
414	strict-runtime	detect	obscode	opus	3	VOID	VOID	VOID	VOID	0	0	0	0
414	strict-runtime	detect	obscode	opus	4	VOID	VOID	VOID	VOID	0	0	0	0
414	strict-runtime	detect	obscode	opus	5	VOID	VOID	VOID	VOID	0	0	0	0
414	strict-runtime	detect	neat	sonnet	1	VOID	VOID	VOID	VOID	0	0	0	0
414	strict-runtime	detect	neat	sonnet	2	VOID	VOID	VOID	VOID	0	0	0	0
414	strict-runtime	detect	neat	sonnet	3	VOID	VOID	VOID	VOID	0	0	0	0
414	strict-runtime	detect	neat	sonnet	4	VOID	VOID	VOID	VOID	0	0	0	0
414	strict-runtime	detect	neat	sonnet	5	VOID	VOID	VOID	VOID	0	0	0	0
20	strict-runtime	detect	obscode	opus	1	VOID	VOID	VOID	VOID	0	0	0	0
20	strict-runtime	detect	obscode	opus	2	VOID	VOID	VOID	VOID	0	0	0	0
20	strict-runtime	detect	obscode	opus	3	VOID	VOID	VOID	VOID	0	0	0	0
20	strict-runtime	detect	obscode	opus	4	VOID	VOID	VOID	VOID	0	0	0	0
20	strict-runtime	detect	obscode	opus	5	VOID	VOID	VOID	VOID	0	0	0	0
20	strict-runtime	detect	neat	sonnet	1	VOID	VOID	VOID	VOID	0	0	0	0
20	strict-runtime	detect	neat	sonnet	2	VOID	VOID	VOID	VOID	0	0	0	0
20	strict-runtime	detect	neat	sonnet	3	VOID	VOID	VOID	VOID	0	0	0	0
20	strict-runtime	detect	neat	sonnet	4	VOID	VOID	VOID	VOID	0	0	0	0
20	strict-runtime	detect	neat	sonnet	5	VOID	VOID	VOID	VOID	0	0	0	0
32	strict-runtime	detect	obscode	opus	1	VOID	VOID	VOID	VOID	0	0	0	0
32	strict-runtime	detect	obscode	opus	2	VOID	VOID	VOID	VOID	0	0	0	0
32	strict-runtime	detect	obscode	opus	3	VOID	VOID	VOID	VOID	0	0	0	0
32	strict-runtime	detect	obscode	opus	4	VOID	VOID	VOID	VOID	0	0	0	0
32	strict-runtime	detect	obscode	opus	5	VOID	VOID	VOID	VOID	0	0	0	0
32	strict-runtime	detect	neat	sonnet	1	VOID	VOID	VOID	VOID	0	0	0	0
32	strict-runtime	detect	neat	sonnet	2	VOID	VOID	VOID	VOID	0	0	0	0
32	strict-runtime	detect	neat	sonnet	3	VOID	VOID	VOID	VOID	0	0	0	0
32	strict-runtime	detect	neat	sonnet	4	VOID	VOID	VOID	VOID	0	0	0	0
32	strict-runtime	detect	neat	sonnet	5	VOID	VOID	VOID	VOID	0	0	0	0
